SiteCode,SurveyID,SurveyDate,SiteLat,Survey.T.Match,ECOregion,Barren_former_AB,Barren_former_SPR,SiteLong,realm,Country,Location,Depth,absSiteLat,r.SiteLat,CTI,CTDiv,AvrgBreadth,SDBreadth,CTImax,CTImax_fish_ECS,CTDiv_fish_ECS,AvrgBreadth_fish_ECS,sdSTI,STR,sdSTR,FRic,Richness_warmF,Abundance_warmF,Richness_coldF,Abundance_coldF,Richness_coldF_perc,Richness_warmF_perc,Anomaly,CTIsensitivity,COMBINED_SCORE,Site_Rich,Site_AB
AND11,912344583,2014-07-02,36.818073,18.15999985,Alboran Sea,689,2,-2.54291,Temperate Northern Atlantic,Spain,Andalusia,5.1,36.818073,37,17.4232499,0.911151688,19.40007989,2.491414693,27.12328985,0.131965842,-0.622596536,-0.549505631,2.634356832,18.65462123,3.436622742,0.14831082,6,482,4,17,21.05263158,31.57894737,3.021093849,Medium,Barren,19,3043
AND12,912344584,2014-07-02,36.817398,18.15999985,Alboran Sea,180,2,-2.545138,Temperate Northern Atlantic,Spain,Andalusia,6.4,36.817398,37,17.46936104,0.945116179,19.28650091,2.490008278,27.1126115,0.103974339,-0.523506838,-0.825244811,2.634356832,18.65462123,3.436622742,0.175894194,6,756,4,20,22.22222222,33.33333333,3.021093849,Medium,Barren,18,1455
AND13,912344585,2014-07-02,36.813491,18.15999985,Alboran Sea,620,2,-2.041086,Temperate Northern Atlantic,Spain,Andalusia,3.4,36.813491,37,17.04577489,1.418101002,19.73805084,1.956944248,26.91480031,-0.414554446,0.856402635,0.27099684,2.634356832,18.65462123,3.436622742,0.112527538,3,309,4,36,20,15,3.021093849,Medium,Barren,20,1330
AND14,912344586,2014-07-03,36.824308,18.15999985,Alboran Sea,455,2,-2.518449,Temperate Northern Atlantic,Spain,Andalusia,4.4,36.824308,37,17.05824992,1.22009819,20.19473884,1.943915241,27.15561934,0.216712177,0.278739373,1.379712334,2.634356832,18.65462123,3.436622742,0.125234726,4,79,5,19,23.80952381,19.04761905,3.021093849,Medium,Barren,21,3777
AND15,912344587,2014-07-03,36.818552,18.15999985,Alboran Sea,270,2,-2.533686,Temperate Northern Atlantic,Spain,Andalusia,5,36.818552,37,17.55985932,1.349055134,19.32921957,1.819540706,27.2244691,0.397190261,0.654964782,-0.721535408,2.634356832,18.65462123,3.436622742,0.094308335,4,430,4,17,25,25,3.021093849,Medium,Barren,16,638
AND16,912344588,2014-07-03,36.76189,18.15999985,Alboran Sea,160,2,-2.101263,Temperate Northern Atlantic,Spain,Andalusia,5.3,36.76189,37,17.30320444,0.822057637,19.78095546,1.848183837,27.19368217,0.316487484,-0.882523957,0.375157715,2.634356832,18.65462123,3.436622742,0.131647545,5,1162,4,9,18.18181818,22.72727273,3.021093849,Medium,Kelp,22,3007
AND17,912344589,2014-07-04,36.813957,18.15999985,Alboran Sea,330,2,-2.559509,Temperate Northern Atlantic,Spain,Andalusia,4.2,36.813957,37,17.28608805,0.97795697,19.666295,1.908908917,27.11923555,0.121338169,-0.42769548,0.096792974,2.634356832,18.65462123,3.436622742,0.072152716,4,38,5,26,29.41176471,23.52941176,3.021093849,Medium,Barren,17,697
AND18,912344590,2014-07-04,36.773703,18.15999985,Alboran Sea,530,2,-2.069534,Temperate Northern Atlantic,Spain,Andalusia,7.9,36.773703,37,16.90875002,0.773301669,18.47416791,1.111848456,26.14583397,-2.4302705,-1.024767046,-2.797370638,2.634356832,18.65462123,3.436622742,0.045659042,1,17,4,150,33.33333333,8.333333333,3.021093849,Medium,Barren,12,273
AND19,912344591,2014-07-07,36.936878,20.30999947,Alboran Sea,759,2,-1.935685,Temperate Northern Atlantic,Spain,Andalusia,2.3,36.936878,37,17.37943321,1.085790941,19.45220095,1.738219107,27.10553368,0.085421041,-0.113095282,-0.422969734,2.634356832,18.65462123,3.436622742,0.05106635,3,74,3,19,20,20,3.021093849,Medium,Barren,15,1431
AND20,912344592,2014-07-07,36.920171,20.30999947,Alboran Sea,783,1,-1.952525,Temperate Northern Atlantic,Spain,Andalusia,4.8,36.920171,37,17.27456814,0.777953838,19.203683,1.954091551,26.87640964,-0.51518915,-1.011194576,-1.026304411,2.634356832,18.65462123,3.436622742,0.112527538,4,19,4,69,18.18181818,18.18181818,3.021093849,Medium,Barren,22,392
AND21,912344593,2014-07-07,36.752474,20.17000008,Alboran Sea,943,2,-2.114065,Temperate Northern Atlantic,Spain,Andalusia,4.7,36.752474,37,17.04599998,0.78416687,19.08376583,1.597810628,26.5878829,-1.271513518,-0.993068366,-1.317431007,2.634356832,18.65462123,3.436622742,0.062903465,2,46,5,89,29.41176471,11.76470588,3.021093849,Medium,Barren,17,298
AND22,912344594,2014-07-08,36.767256,20.17000008,Alboran Sea,280,2,-2.078923,Temperate Northern Atlantic,Spain,Andalusia,3.5,36.767256,37,17.48860867,1.431235018,18.83774027,2.336289594,26.9074788,-0.43374655,0.894720469,-1.914714835,2.634356832,18.65462123,3.436622742,0.18422438,5,31,4,63,17.39130435,21.73913043,3.021093849,Medium,Barren,23,549
AND24,912344596,2014-07-09,36.883397,20.17000008,Alboran Sea,976,2,-2.000633,Temperate Northern Atlantic,Spain,Andalusia,2.2,36.883397,37,17.71006232,1.081630009,19.37262589,2.214238653,27.39637527,0.847813378,-0.125234593,-0.61615655,2.634356832,18.65462123,3.436622742,0.149453462,6,225,2,20,12.5,37.5,3.021093849,Medium,Barren,16,332
AND26,912344598,2014-07-09,36.820985,20.17000008,Alboran Sea,103,1,-2.04086,Temperate Northern Atlantic,Spain,Andalusia,2.4,36.820985,37,17.46960691,0.855384046,20.01921512,1.591317562,27.47921447,1.06496244,-0.785295832,0.953588001,2.634356832,18.65462123,3.436622742,0.073238405,4,20,2,17,14.28571429,28.57142857,3.021093849,Medium,Kelp,14,55
AND31,912344603,2014-07-15,36.824671,21.20000076,Alboran Sea,473,2,-2.5124,Temperate Northern Atlantic,Spain,Andalusia,4.8,36.824671,37,17.57417627,0.891213516,20.01423607,2.006357374,27.58129431,1.332547578,-0.680765151,0.941500221,2.634356832,18.65462123,3.436622742,0.10331352,7,1434,3,23,17.64705882,41.17647059,3.021093849,Medium,Barren,17,1493
